Place,HelmName,Fleet,Status
1,Simon Cofield,Men's Sailboard,Gold Fleet
2,Antony Baker,Men's Sailboard,Pro Fleet
3,Jim Crossley,Men's Sailboard,Gold Fleet
4,Christian Body,Men's Sailboard,Gold Fleet
5,Nigel Spriggs,Men's Sailboard,Gold Fleet
6,Jamie Walker,Men's Sailboard,Gold Fleet
7,Andy Holland,Men's Sailboard,Gold Fleet
8,Jack Trollope,Men's Sailboard,Gold Fleet
9,Allan Cross,Men's Sailboard,Pro Fleet
10,Garry Connell,Men's Sailboard,Amateur
11,Adrian Wallis,Men's Sailboard,Gold Fleet
12,Dave Strudwick,Men's Sailboard,Gold Fleet
13,Stephen Chatten,Men's Sailboard,Gold Fleet
14,Gavin Furmenger,Men's Sailboard,Amateur
15,Chris Jackson,Men's Sailboard,Gold Fleet
16,Matthew York,Men's Sailboard,Gold Fleet
17,Martin Allman,Men's Sailboard,Amateur
18,Nic Dodd,Men's Sailboard,Gold Fleet
