Place,Helmname,Fleet
1,Simon Pettifer,Men's Sailboard
2,Scotty Stallman,Men's Sailboard
3,James Battye,Men's Sailboard
4,Jim Crossley,Men's Sailboard
5,Paul Sibley,Men's Sailboard
6,James Faley,Men's Sailboard
7,Michael George,Men's Sailboard
8,Tyler Baker,Men's Sailboard
9,Josh Lane,Men's Sailboard
10,Garry Connell,Men's Sailboard
11,Richard Crosby,Men's Sailboard
12,Adrian Wallis,Men's Sailboard
13,Peter Crosby,Men's Sailboard
14,Dave Strudwick,Men's Sailboard
15,Lewis Limm,Men's Sailboard
16,Matt Roche,Men's Sailboard
17,Spenser Arnold,Men's Sailboard
18,Harry Keenan,Men's Sailboard
19,Chris Cleland,Men's Sailboard
