Name,Craft Type,Sail Number,Speed (kts)
Dan Ellis,Sailboard,52,28.47
David Garrel,Sailboard,22,28.09
Bob Cunningham,Sailboard,818,27.73
John Sanderson,Sailboard,180,27.22
Simon Hinkley,Sailboard,40,26.95
Tony Morris,Sailboard,604,26.69
Dave White,Sailboard,63,26.22
Paul Simmons,Sailboard,131,26.08
Ian Hill,Sailboard,14,25.77
Keith Atkinson,Sailboard,56,25.77
Bjorn Dunkerbeck,Sailboard,11,25.55
Stephen Corps,Sailboard,15,25.55
Pete Martin,Sailboard,181,25.53
Ian Ruby,Sailboard,313,25.52
Adrian Bugler,Sailboard,328,25.39
Paul Morris,Sailboard,111,25.33
Robin Penna,Sailboard,75,25.23
Nick Scott,Sailboard,55,24.93
Mark Newman,Sailboard,92,24.93
Charles Wilson,Sailboard,143,24.74
Richard Jones GBR-32,Sailboard,32,24.61
Mathew Spooner,Sailboard,150,24.48
Amy Carter,Sailboard,85,24.46
?,Sailboard,321,24.36
Trevor Watford,Sailboard,27,24.36
David Barnard,Sailboard,28,24.27
James Paine,Sailboard,17,24.21
Eddie Murrell,Salboard,670,24.21
Duncan Adam,Sailboard,863,24.21
Dan Simpson,Sailboard,323,24.18
Mathew Burridge,Sailboard,666,24.06
Richard Stark,Sailboard,110,24.03
Carl Miller,Sailboard,96,23.82
Thor Gustafsson,Sailboard,211,23.65
Alex Montgomery,Sailboard,1,23.64
Alistair Williams,Sailboard,330,23.59
David Williams,Kite Board,612,23.56
Sam Gooch,Sailboard,567,23.47
Dion Hunt,Sailboard,71,23.33
Zara Davis,Sailboard,731,23.22
Pete Davis,Sailboard,73,23.11
Mike Price,Sailboard,97,23.08
Michael Pacey,Kite Board,622,23.05
Andrew Penhaligon,Sailboard,119,22.78
Claude Van Martyn,Sailboard,555,22.62
Tony Attfield,Sailboard,46,22.59
Simon Moore,Sailboard,751,22.56
Nigel Spriggs,Sailboard,118,22.54
Barry Mason,Sailboard,23,22.25
Richard Holgate,Sailboard,53,22.18
Neil Hardwick,Sailboard,413,22.15
Allan Cross,Sailboard,68,21.73
Clive Ellis,Sailboard,51,21.61
Rob Stack,Sailboard,777,21.58
Anton Poll,Sailboard,72,20.95
John Morrish,Sailboard,80,20.66
Gordon Roach,Sailboard,196,20.66
Sean Carroll,Sailboard,171,20.43
Richard Trubger,Kite Board,624,19.97
Pierre Saville,Sailboard,38,19.89
Martin Allman,Sailboard,206,19.56
Claire Newman,Sailboard,91,19.49
Ian Grounds,Sailboard,276,19.37
Joddy Chapman,Boat,141,18.97
Trevor Funnell,Sailboard,24,18.49
Brian Leake,Sailboard,26,18.42
Peter Watkinson,Sailboard,808,17.93
John Fildes,Sailboard,467,16.71
Torix Bennett,Boat,101,16.29
Alex Adams,Boat,406,16.15
Alan Blundell,Boat,18,11.62
Bob Date,Boat,458,11.46
