Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scotty Stallman,Men's Sailboard,Pro Fleet,32.65,31.64,32.15
2,Simon Pettifer,Men's Sailboard,Pro Fleet,31.22,31.13,31.18
3,Jim Crossley,Men's Sailboard,Pro Fleet,31.53,30.69,31.11
4,Garry Connell,Men's Sailboard,Pro Fleet,29.32,28.98,29.15
5,Zack Peaple,Men's Sailboard,Gold Fleet,28.23,28.21,28.22
6,Will Trossell,Men's Sailboard,Gold Fleet,27.99,27.72,27.86
7,Michael George,Men's Sailboard,Pro Fleet,27.70,27.51,27.60
8,Dave Strudwick,Men's Sailboard,Gold Fleet,27.30,26.84,27.07
9,Stuart Trunkfield,Men's Sailboard,Gold Fleet,27.07,26.72,26.90
10,Scott Norman,Men's Sailboard,Gold Fleet,26.98,26.76,26.87
11,George Fulton,Men's Sailboard,Gold Fleet,27.15,26.56,26.86
12,Scott Harrison,Men's Sailboard,Gold Fleet,26.98,26.43,26.70
13,Paul Arnold,Men's Sailboard,Amateur,26.64,26.25,26.44
14,Eddie Marsh,Men's Sailboard,Gold Fleet,26.25,25.80,26.03
15,Richard Crosby,Men's Sailboard,Gold Fleet,26.21,25.47,25.84
16,John Oliver,Men's Sailboard,Gold Fleet,25.79,25.75,25.77
17,Tim Bate,Men's Sailboard,Amateur,26.20,25.16,25.68
18,Russell Thompson,Men's Sailboard,Amateur,25.19,25.03,25.11
19,Andy Stuart-William,Men's Sailboard,Gold Fleet,24.99,24.39,24.69
20,Joe Trunkfield,Men's Sailboard,Amateur,24.44,23.66,24.05
21,Simon Ramsden,Men's Sailboard,Amateur,24.41,23.32,23.86
22,Trevor Whatford,Men's Sailboard,Gold Fleet,22.29,21.59,21.94
23,Matthew Lilley,Men's Sailboard,Amateur,22.84,20.06,21.45
24,Andy Bridge,Men's Sailboard,Amateur,23.93,,11.96
25,Matthew York,Men's Sailboard,Gold Fleet,21.13,,10.57
