Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scotty Stallman,Men's Sailboard,Pro Fleet,29.41,29.37,29.39
2,Simon Pettifer,Men's Sailboard,Pro Fleet,28.41,26.85,27.63
3,Michael George,Men's Sailboard,Pro Fleet,27.62,27.25,27.43
4,Scott Harrison,Men's Sailboard,Gold Fleet,25.31,24.71,25.01
5,George Fulton,Men's Sailboard,Gold Fleet,24.60,24.45,24.52
6,Russell Thompson,Men's Sailboard,Amateur,24.88,23.67,24.28
7,Zack Peaple,Men's Sailboard,Gold Fleet,24.54,23.75,24.15
8,Tim Bate,Men's Sailboard,Amateur,24.39,21.28,22.83
9,Dave Strudwick,Men's Sailboard,Gold Fleet,24.79,20.78,22.78
10,Andrew Twinn,Men's Sailboard,Gold Fleet,22.70,21.90,22.30
11,Joe Trunkfield,Men's Sailboard,Amateur,20.20,20.07,20.14
12,Matthew Lilley,Men's Sailboard,Amateur,22.59,16.55,19.57
13,Stuart Trunkfield,Men's Sailboard,Gold Fleet,21.44,,10.72
14,Andy Stuart-William,Men's Sailboard,Gold Fleet,21.42,,10.71
