Sail Number,Craft Type,Name,Speed (kts),Runs
17,Sailboard,Jim Paine,31.519,38
47,Sailboard,Stacey Vass,31.132,87
138,Boat,John Lindley,30.573,8
31,Sailboard,Angus Hitchin,29.669,29
181,Sailboard,Peter Martin,29.264,42
150,Sailboard,Matthew Spooner,28.677,39
220,Sailboard,Cygnus Sails,27.515,3
6,Sailboard,Rob Gough,27.471,10
9,Sailboard,Mike Pearce,27.202,66
27,Sailboard,Trevor Whatford,26.995,42
197,Sailboard,David Goodrich,26.992,32
124,Sailboard,Richard Trubger,26.632,20
101,Boat,Torix Bennett,26.447,30
171,Sailboard,Sean Carroll,25.858,38
2,Sailboard,Robin Ball,24.547,43
46,Boat,E.H.S.,24.429,68
11,Sailboard,Alex Montgomery,23.894,16
111,Sailboard,Nick Povey,23.694,11
15,Boat,Harvey Bowden,20.846,21
18,Boat,Alan Blundell,20.567,11
55,Boat,Yellow Rave,20.501,4
5,Sailboard,Graham Hulbert,19.883,17
639,Sailboard,Robert Spagnoletti,19.615,3
719,Glen Dilling,,17.431,4
1,Boat,Jon Montgomery,15.974,32
13,Boat,John Peperell,15.825,32
458,Boat,Robert Date,15.714,35
99,w,,13.325,5
10,Boat,Fred Ball,13.072,22
30,Boat,Hywel Price,12.993,38
79,Boat,Slade Penoyre,12.991,5
444,Boat,Brian Storm,8.362,13
3,Boat,Bob Quinton,0.104,1
