Sail Number,Name,Time,Speed
11,Bjorn Dunkerbeck,10:58:14,36.51
625,Nigel Bowley,11:09:11,36.36
52,Dan Ellis,11:40:25,34.49
40,Simon Hinkley,10:58:59,34.11
89,Bob Cunningham,10:55:54,33.88
180,John Sanderson,10:59:15,33.70
22,Peter Cunningham,11:21:29,33.17
75,Robin Penna,11:15:36,33.06
63,David White,11:07:37,32.94
434,Stephen Thorpe,11:06:29,32.78
5,Chris Cunningham,11:16:39,32.66
17,James Paine,11:16:11,32.61
73,Peter Davis,11:02:06,32.45
731,Zara Davis,10:38:03,32.44
29,Tony Robinson,11:15:26,32.29
651,Orlando Lavandera,11:02:22,32.23
82,Kevin Greenslade,14:12:09,32.14
68,Alan Cross,10:54:51,32.08
56,Keith  Atkinson,11:43:02,31.96
86,Jonathan Mobbs,10:56:06,31.70
413,Neil Hardwick,11:04:31,31.55
31,Paul Morris,11:15:15,31.39
604,Tony Morris,11:09:28,31.34
666,Matthew Burridge,10:59:38,31.19
131,Paul Simmons,16:35:18,31.00
215,George Warren,11:02:01,30.84
19,richard ashenden,11:01:23,30.79
47,Stacey Vass,11:24:03,30.69
30,Dave Standing,11:02:30,30.60
451,Xavier Ferlet,14:08:59,30.40
211,Jamie Walker,11:02:51,30.26
181,Peter Martin,14:05:56,30.01
46,Denis Royet,11:45:43,29.98
151,Norman Betts,10:37:57,29.98
14,Ian Hill,16:05:30,29.98
670,Edward Murrell,11:16:58,29.57
23,Barry Mason,11:03:42,29.56
97,Mike Price,14:07:01,29.55
190,Martin Waldron,14:18:18,29.27
12,Simon Burgess,10:51:22,29.20
45,Alex Montgomery,10:53:04,29.16
27,Trevor Whatford,15:54:06,29.12
888,Thor Gustafsson,14:19:12,28.88
88,Roger Clark,14:06:21,28.70
44,David Strudwick,11:05:41,28.68
127,David Connor,11:45:50,28.64
863,Duncan Adam,16:05:23,28.26
37,Mark Ingram,11:18:48,28.26
15,Torsten Niehaus,16:54:21,28.19
133,Rupert Fisher,14:05:35,27.93
69,Mike Pearce,11:19:21,27.81
330,Alistair Williams,14:07:31,27.65
169,Austin Hind,11:22:48,27.58
171,Sean Carroll,11:38:19,27.45
332,Mike Coombes,11:23:06,27.38
120,Larry Chan,11:14:15,27.30
333,David Barnard,14:10:21,27.22
100,Mark Minter,14:04:16,27.18
163,Charles Wilson,14:09:08,26.99
421,John Langdon,14:09:59,26.35
71,Dion Hunt,13:33:15,26.31
58,Graeme Fuller,16:39:06,26.12
51,Clive Ellis,13:32:06,25.99
61,Simon Andrew,13:42:10,25.91
555,Claude Van-Martyn,15:29:45,25.29
99,Gordon Roach,09:53:58,25.13
53,Richard Holgate,14:34:54,24.96
206,Martin Allman,14:02:49,24.61
16,Mark Spreadbury,16:08:42,24.09
26,Brian Leake,11:05:34,24.03
38,Pierre Saville,14:00:03,23.81
13,Robert Munn,16:43:43,23.54
780,Jane Sanderson,13:46:41,22.97
349,Brian Warner,13:30:17,22.80
277,Kévin Gobin,10:54:57,15.00
