Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scotty Stallman,Men's Sailboard,Pro Fleet,32.22,32.18,32.20
2,Simon Pettifer,Men's Sailboard,Pro Fleet,31.57,31.43,31.50
3,Nigel Spriggs,Men's Sailboard,Pro Fleet,30.71,30.65,30.68
4,Garry Connell,Men's Sailboard,Pro Fleet,28.76,28.37,28.56
5,Will Trossell,Men's Sailboard,Gold Fleet,28.41,28.33,28.37
6,Michael George,Men's Sailboard,Pro Fleet,27.83,27.62,27.73
7,John Oliver,Men's Sailboard,Gold Fleet,27.70,27.47,27.59
8,George Fulton,Men's Sailboard,Gold Fleet,27.80,27.33,27.57
9,Simon Chippington,Men's Sailboard,Gold Fleet,27.36,26.98,27.17
10,Richard Crosby,Men's Sailboard,Gold Fleet,27.25,26.97,27.11
11,Maciej Bukolt,Men's Sailboard,Amateur,26.26,25.94,26.10
12,Scott Norman,Men's Sailboard,Amateur,25.97,25.86,25.92
13,Iain Neary,Men's Sailboard,Amateur,25.89,25.75,25.82
14,Stuart Trunkfield,Men's Sailboard,Gold Fleet,25.67,25.56,25.62
15,Mark Palmer,Men's Sailboard,Gold Fleet,25.60,25.45,25.53
16,Andrew Twinn,Men's Sailboard,Gold Fleet,25.65,24.97,25.31
17,Dave Strudwick,Men's Sailboard,Gold Fleet,24.84,24.64,24.74
18,Stewart Veitch,Men's Sailboard,Amateur,23.14,22.82,22.98
19,Trevor Whatford,Men's Sailboard,Gold Fleet,23.19,22.50,22.84
20,Garry Goodwin,Men's Sailboard,Amateur,23.01,22.38,22.70
21,Andy Stuart-William,Men's Sailboard,Gold Fleet,22.85,22.23,22.54
22,Joe Trunkfield,Men's Sailboard,Amateur,22.86,21.79,22.32
